R1,R2,R3,Rmax1,Rmax2,Rmax3,Rmax1-R1,Rmax2-R2,Rmax3-R3,(Rmax1-R1)/Rmax1,(Rmax2-R2)/Rmax2,(Rmax3-R3)/Rmax3,(Rmax1-R1)/Rmax1*100,(Rmax2-R2)/Rmax2*100,(Rmax3-R3)/Rmax3*100
417611.531,415327.656,387006.5,439861.43799999997,546426.687,511025.469,22249.90699999995,131099.03100000002,124018.96899999998,0.050583900014440346,0.23992062269096312,0.24268647361683648,5.058390001444034,23.992062269096312,24.268647361683648
410982.56299999997,383078.43700000003,372654.469,439861.43799999997,546426.687,511025.469,28878.875,163348.25,138371.0,0.06565448230994962,0.2989390047854672,0.27077124017081033,6.565448230994962,29.89390047854672,27.077124017081033
415051.75,415821.25,388914.375,439861.43799999997,546426.687,511025.469,24809.687999999966,130605.43700000003,122111.09399999998,0.056403416750526715,0.23901731029472947,0.23895304912875093,5.640341675052672,23.90173102947295,23.895304912875094
413569.969,403466.531,387292.719,439861.43799999997,546426.687,511025.469,26291.468999999983,142960.15600000002,123732.75,0.05977216170515949,0.26162733153624324,0.24212638607255013,5.977216170515949,26.162733153624323,24.212638607255013
397733.719,385521.06200000003,381041.094,439861.43799999997,546426.687,511025.469,42127.71899999998,160905.625,129984.375,0.09577497675529353,0.29446882597079305,0.2543598761415158,9.577497675529353,29.446882597079306,25.43598761415158
389948.656,393369.469,377666.031,439861.43799999997,546426.687,511025.469,49912.78199999995,153057.21800000005,133359.43799999997,0.11347387537981893,0.28010567865987124,0.2609643669247334,11.347387537981893,28.010567865987124,26.09643669247334
398204.031,391839.93799999997,380494.56299999997,439861.43799999997,546426.687,511025.469,41657.40699999995,154586.74900000007,130530.90600000002,0.09470574913184354,0.28290483001244787,0.25542935512672077,9.470574913184354,28.290483001244787,25.542935512672077
398575.68700000003,417831.156,380711.156,439861.43799999997,546426.687,511025.469,41285.75099999993,128595.53100000002,130314.31299999997,0.0938608103218176,0.23533903826333433,0.25500551519478176,9.38608103218176,23.533903826333432,25.500551519478176
385269.625,389404.0,387392.68799999997,439861.43799999997,546426.687,511025.469,54591.812999999966,157022.68700000003,123632.78100000002,0.1241113866408084,0.28736277113785996,0.24193076177187564,12.41113866408084,28.736277113785995,24.193076177187564
390644.281,423103.719,378604.156,439861.43799999997,546426.687,511025.469,49217.15699999995,123322.96800000005,132421.31299999997,0.1118924114461699,0.22568987008498734,0.25912859736546706,11.18924114461699,22.568987008498734,25.912859736546707
397004.719,423185.781,392975.344,439861.43799999997,546426.687,511025.469,42856.71899999998,123240.90600000002,118050.125,0.09743231685610955,0.22553969074354527,0.23100634344312887,9.743231685610954,22.553969074354526,23.100634344312887
380024.31299999997,392334.25,389458.06299999997,439861.43799999997,546426.687,511025.469,59837.125,154092.43700000003,121567.40600000002,0.13603630559676388,0.2820002036247546,0.23788913346704452,13.603630559676388,28.20002036247546,23.78891334670445
373690.93799999997,411164.469,395082.375,439861.43799999997,546426.687,511025.469,66170.5,135262.21800000005,115943.09399999998,0.15043487399320513,0.24753955327954186,0.22688320061010497,15.043487399320513,24.753955327954184,22.688320061010497
380206.406,393416.0,386206.375,439861.43799999997,546426.687,511025.469,59655.03199999995,153010.68700000003,124819.09399999998,0.13562232750214387,0.28002052359496127,0.24425219792714478,13.562232750214386,28.002052359496126,24.42521979271448
377509.125,403572.93700000003,396851.906,439861.43799999997,546426.687,511025.469,62352.312999999966,142853.75,114173.56299999997,0.1417544426797422,0.2614326009300494,0.2234204945272502,14.17544426797422,26.14326009300494,22.34204945272502
381813.75,413447.781,396281.094,439861.43799999997,546426.687,511025.469,58047.687999999966,132978.90600000002,114744.375,0.1319681221976089,0.24336092867294384,0.2245374877783244,13.19681221976089,24.336092867294383,22.45374877783244
376024.844,338214.031,385516.5,439861.43799999997,546426.687,511025.469,63836.59399999998,208212.65600000002,125508.96899999998,0.14512887124240245,0.38104408322941224,0.24560217956573116,14.512887124240246,38.104408322941225,24.560217956573116
378241.31200000003,328186.906,392706.18799999997,439861.43799999997,546426.687,511025.469,61620.12599999993,218239.78100000002,118319.28100000002,0.14008985711541264,0.3993944406306056,0.23153304126217636,14.008985711541264,39.939444063060556,23.153304126217638
379470.68700000003,326657.438,399615.281,439861.43799999997,546426.687,511025.469,60390.75099999993,219769.249,111410.18799999997,0.13729494286789454,0.4021934766886669,0.21801298518058787,13.729494286789453,40.21934766886669,21.801298518058786
381255.844,326005.969,384809.844,439861.43799999997,546426.687,511025.469,58605.59399999998,220420.71800000005,126215.625,0.1332364898056828,0.40338571164991444,0.24698499909796082,13.323648980568281,40.33857116499144,24.69849990979608
372735.781,329734.156,382585.56299999997,439861.43799999997,546426.687,511025.469,67125.65699999995,216692.53100000002,128439.90600000002,0.15260636919029022,0.3965628622380956,0.2513375825501175,15.260636919029022,39.65628622380956,25.133758255011752
381223.43799999997,324636.5,387793.875,439861.43799999997,546426.687,511025.469,58638.0,221790.18700000003,123231.59399999998,0.1333101630063784,0.40589193807073337,0.24114569913931233,13.33101630063784,40.589193807073336,24.114569913931234
367210.344,316839.781,379136.125,439861.43799999997,546426.687,511025.469,72651.09399999998,229586.90600000002,131889.34399999998,0.16516813642572592,0.42016049263713945,0.25808761402457614,16.516813642572593,42.016049263713946,25.808761402457613
370540.969,319203.156,397048.906,439861.43799999997,546426.687,511025.469,69320.46899999998,227223.53100000002,113976.56299999997,0.15759614963110266,0.41583534700236924,0.22303499515011446,15.759614963110266,41.583534700236925,22.303499515011445
367923.344,324945.531,392880.75,439861.43799999997,546426.687,511025.469,71938.09399999998,221481.15600000002,118144.71899999998,0.16354717141628586,0.4053263891922614,0.23119144967704142,16.354717141628587,40.53263891922614,23.11914496770414
372068.656,317819.844,380293.93799999997,439861.43799999997,546426.687,511025.469,67792.78199999995,228606.84300000005,130731.53100000002,0.15412303999242588,0.418366907105326,0.2558219480837657,15.412303999242589,41.8366907105326,25.582194808376567
372898.656,319528.906,400240.875,439861.43799999997,546426.687,511025.469,66962.78199999995,226897.78100000002,110784.59399999998,0.15223608212729928,0.4152392011556346,0.21678879179307595,15.223608212729928,41.52392011556346,21.678879179307593
370885.906,318867.156,396698.906,439861.43799999997,546426.687,511025.469,68975.53199999995,227559.53100000002,114326.56299999997,0.15681195495023129,0.41645025108372863,0.22371989252066019,15.681195495023129,41.64502510837286,22.37198925206602
370588.281,318414.813,396656.93700000003,439861.43799999997,546426.687,511025.469,69273.15699999995,228011.874,114368.53199999995,0.15748858848590394,0.41727807119347377,0.2238020195427871,15.748858848590395,41.727807119347375,22.38020195427871
370539.875,312275.594,341342.31200000003,439861.43799999997,546426.687,511025.469,69321.56299999997,234151.09300000005,169683.15699999995,0.15759863677797545,0.4285132819656739,0.3320444230148536,15.759863677797545,42.85132819656739,33.20444230148536
369810.875,318147.344,354732.406,439861.43799999997,546426.687,511025.469,70050.56299999997,228279.34300000005,156293.06299999997,0.15925597687879148,0.4177675586331676,0.30584202252353876,15.925597687879147,41.77675586331676,30.584202252353876
377971.031,318216.312,347166.844,439861.43799999997,546426.687,511025.469,61890.40699999995,228210.37500000006,163858.625,0.14070432561992385,0.41764134225018196,0.32064668972496946,14.070432561992385,41.764134225018196,32.064668972496946
376911.344,317715.312,324059.375,439861.43799999997,546426.687,511025.469,62950.09399999998,228711.37500000006,186966.09399999998,0.14311346383585458,0.4185582081572089,0.36586453189087526,14.311346383585457,41.85582081572089,36.58645318908753
372095.68700000003,313067.5,329183.688,439861.43799999997,546426.687,511025.469,67765.75099999993,233359.18700000003,181841.78099999996,0.1540615865489894,0.4270640372292066,0.35583702189215144,15.406158654898942,42.70640372292066,35.583702189215145
369816.93799999997,316364.313,324454.813,439861.43799999997,546426.687,511025.469,70044.5,230062.374,186570.65599999996,0.15924219299260328,0.4210306331542698,0.3650907191868356,15.924219299260328,42.10306331542698,36.50907191868356
370583.969,315192.625,313391.094,439861.43799999997,546426.687,511025.469,69277.46899999998,231234.06200000003,197634.375,0.15749839157302983,0.42317490616998366,0.3867407536198553,15.749839157302983,42.31749061699836,38.67407536198553
370496.875,311287.313,324215.125,439861.43799999997,546426.687,511025.469,69364.56299999997,235139.374,186810.34399999998,0.15769639483604828,0.43032190702647727,0.3655597525609824,15.769639483604827,43.032190702647725,36.555975256098236
