resistance_ch1,time_ch1,conc,resistance_ch2,time_ch2,resistance_ch3,time_ch3,Label
82590.9063,102.322,4,45665.4961,102.619,280820.469,103.325,No3_4
82552.6094,103.662,4,46518.0664,103.991,290027.594,104.732,No3_4
84362.1328,105.057,4,46508.0117,105.354,285118.25,106.077,No3_4
82365.9922,106.402,4,44911.6562,106.699,280275.813,107.482,No3_4
84652.7734,107.807,4,44966.9102,108.104,290113.063,108.811,No3_4
85900.625,109.149,4,44670.4922,109.479,285479.281,110.226,No3_4
85737.875,110.552,4,46713.4453,110.848,288951.156,111.568,No3_4
84969.4297,111.893,4,46648.2148,112.19,288628.688,112.971,No3_4
82926.9766,113.296,4,45919.0742,113.592,278961.437,114.299,No3_4
82324.7656,114.638,4,46560.8242,114.969,283009.125,115.713,No3_4
82752.5547,116.039,4,44612.3477,116.335,286745.312,117.044,No3_4
85006.7656,117.37,4,45383.1563,117.672,288032.938,118.448,No3_4
82569.5234,118.774,4,45483.6523,119.071,279175.094,119.778,No3_4
82775.6797,120.117,4,46623.5586,120.447,278491.563,121.177,No3_4
85890.3984,121.503,4,45794.0977,121.8,277778.625,122.515,No3_4
84283.4844,122.839,4,44798.5313,123.136,283366.875,123.919,No3_4
85664.8047,124.245,4,46698.3789,124.542,283025.344,125.248,No3_4
84812.4141,125.587,4,45576.5703,125.917,282749.094,126.658,No3_4
86035.7031,126.983,4,46668.5664,127.28,286812.031,128,No3_4
85206.9062,128.325,4,46814.5859,128.621,284770.031,129.398,No3_4
85564.4453,129.724,4,46703.8711,130.02,280656.594,130.727,No3_4
84509.7734,131.065,4,45364.1289,131.394,285969.625,132.142,No3_4
82684.0313,132.468,4,45759.418,132.765,286607.594,133.48,No3_4
83894.5937,133.806,4,46552.7227,134.102,286784.719,134.881,No3_4
84044.3438,135.205,4,45406.0195,135.505,285922.375,136.216,No3_4
84339.4062,136.544,4,45372.9258,136.872,281687.219,137.603,No3_4
82803.5625,137.927,4,44738.5039,138.227,280148.063,138.944,No3_4
82734.9141,139.269,4,44835.3828,139.626,282756.219,140.353,No3_4
85819.8984,140.678,4,46740.75,140.978,287375.031,141.757,No3_4
83925.6641,142.082,4,45453.9453,142.382,282938.281,143.092,No3_4
84478.7422,143.42,4,45377.5078,143.749,283338,144.479,No3_4
82660.8438,144.803,4,44711.9805,145.104,276920.438,145.824,No3_4
83418.9375,146.148,4,46229.4141,146.511,278361.406,147.221,No3_4
82755.9766,147.546,4,45171.4687,147.847,282443.969,148.638,No3_4
82408.7969,148.962,4,44792.293,149.262,285894.219,149.974,No3_4
82601.4766,150.301,4,45987.3516,150.668,276526.813,151.38,No3_4
84619.8906,151.728,4,45813.2031,152.057,277515.469,152.799,No3_4
82654.3359,153.123,4,44814.6484,153.423,274743.031,154.142,No3_4
84013.9531,154.466,4,46712.4453,154.829,282680.531,155.548,No3_4
85756.5156,155.872,4,46659.5781,156.173,279426.563,156.956,No3_4
82580.0391,157.279,4,44643.2109,157.58,283869.031,158.291,No3_4
82566.2812,158.618,4,46588.6133,158.947,274438.344,159.678,No3_4
82845.7187,160.002,4,44986.7109,160.302,273632.062,161.019,No3_4
84367.9375,161.344,4,44907.2852,161.701,281760.875,162.426,No3_4
85593.4297,162.751,4,46192.0625,163.052,282625.062,163.831,No3_4
83481.9219,164.155,4,45291.1211,164.455,277862.844,165.163,No3_4
85578.2813,165.49,4,44810.5469,165.819,273162.625,166.559,No3_4
84454.625,166.883,4,46006.1094,167.183,272358.219,167.898,No3_4
84824.9609,168.223,4,45278.4609,168.52,278747.344,169.302,No3_4
85455.8047,169.627,4,46697.3555,169.924,277805.656,170.63,No3_4
85335.5625,170.968,4,45273.5313,171.299,275804.906,172.04,No3_4
85798.4766,172.366,4,46512.1211,172.662,276539.188,173.38,No3_4
85748.6797,173.706,4,45909.207,174.008,273619.531,174.791,No3_4
82586.0469,175.116,4,44680.3984,175.412,273772.156,176.117,No3_4
83238.9844,176.456,4,46169.5547,176.786,271655.938,177.53,No3_4
