resistance_ch1,time_ch1,conc,resistance_ch2,time_ch2,resistance_ch3,time_ch3,Label
25356.8047,278.528,3.5,88917.3828,278.826,65191.457,279.137,No3_3.5
25278.5059,279.467,3.5,91753,279.797,64249.1641,280.101,No3_3.5
25751.9648,280.401,3.5,91655.6016,280.736,62962.1289,281.066,No3_3.5
25379.5156,281.386,3.5,88726.6094,281.683,65010.3086,281.994,No3_3.5
26199.7715,282.335,3.5,91415.8359,282.653,64848.6367,282.95,No3_3.5
25318.623,283.263,3.5,89005.1406,283.602,62976.7461,283.922,No3_3.5
25864.7012,284.214,3.5,90044.6563,284.535,63634.6367,284.875,No3_3.5
25469.7168,285.196,3.5,88942.5781,285.501,64277.4492,285.811,No3_3.5
25720.9199,286.142,3.5,90543.4531,286.471,63564.7188,286.772,No3_3.5
25851.8477,287.07,3.5,90890.6328,287.409,63498.8906,287.738,No3_3.5
25384.1836,288.032,3.5,90585.2656,288.347,63311.7344,288.677,No3_3.5
25889.834,289.007,3.5,88835.5469,289.311,62869.3555,289.615,No3_3.5
25336.6914,289.932,3.5,89315.8672,290.271,62785.6211,290.593,No3_3.5
25973.375,290.884,3.5,91242.7656,291.2,65005.8828,291.541,No3_3.5
25377.7891,291.871,3.5,88668.2969,292.17,62828.0117,292.485,No3_3.5
25495.5195,292.811,3.5,90775.8359,293.141,63180.0586,293.463,No3_3.5
26175.9844,293.754,3.5,89632.3359,294.07,63911.8516,294.411,No3_3.5
25770.0684,294.74,3.5,90694.5156,295.037,62501.4336,295.342,No3_3.5
25392.5625,295.682,3.5,90994.6797,296.011,64689.3242,296.31,No3_3.5
25332.4648,296.621,3.5,91010.1094,296.95,62767.8984,297.279,No3_3.5
25365.6953,297.6,3.5,89325.625,297.896,64674.5508,298.207,No3_3.5
26260.627,298.547,3.5,88663.4687,298.877,63034.6563,299.175,No3_3.5
25421.9883,299.481,3.5,89263.5703,299.821,63853.3477,300.152,No3_3.5
25367.4902,300.454,3.5,90309.4531,300.763,64811.0156,301.088,No3_3.5
25381.8613,301.417,3.5,89032.5234,301.738,64706.6641,302.043,No3_3.5
26205.2793,302.345,3.5,91273.875,302.685,62789.8945,303.015,No3_3.5
25941.7109,303.307,3.5,91211.9531,303.621,63001.957,303.955,No3_3.5
26260.7246,304.283,3.5,88678.3984,304.589,64047.9414,304.897,No3_3.5
25431.2266,305.208,3.5,89681.6641,305.546,63202.0703,305.866,No3_3.5
26179.9375,306.157,3.5,91150.9922,306.477,64785.4609,306.816,No3_3.5
25755.3652,307.144,3.5,89006.8984,307.451,62825.3438,307.765,No3_3.5
26224.7168,308.079,3.5,88863.0547,308.406,62958.4805,308.709,No3_3.5
25327.1777,309.007,3.5,90627.5938,309.34,63375.1523,309.669,No3_3.5
25489.3691,309.988,3.5,88996,310.288,64747.9609,310.598,No3_3.5
26266.8477,310.932,3.5,90068.4453,311.249,63912.8984,311.549,No3_3.5
26241.1113,311.854,3.5,91394.9141,312.192,65109.082,312.51,No3_3.5
25384.0527,312.8,3.5,89297.4766,313.119,63625.9922,313.458,No3_3.5
25929.9707,313.787,3.5,91553.1016,314.09,65122.7109,314.409,No3_3.5
25462.9941,314.723,3.5,91641.8359,315.052,64201.1406,315.354,No3_3.5
26116.0977,315.652,3.5,90574.75,315.984,64334.7578,316.313,No3_3.5
25927.873,316.632,3.5,89321.9609,316.936,63050.9883,317.24,No3_3.5
25546.7207,317.574,3.5,90946.9375,317.903,65181.5586,318.208,No3_3.5
26229.707,318.505,3.5,89814.2344,318.839,65009.2422,319.168,No3_3.5
25838.7031,319.461,3.5,89887.5391,319.779,65097.3594,320.104,No3_3.5
25401.2402,320.434,3.5,89238.6016,320.736,64992.2109,321.044,No3_3.5
25386.1211,321.353,3.5,89508.2266,321.692,62778.2461,322.011,No3_3.5
26228.0859,322.301,3.5,91874.25,322.621,65141.5273,322.961,No3_3.5
