R1,R2,R3
3029.92554,2356.75903,3836.55957
3022.31689,2356.40845,3823.07446
3022.3064,2353.46973,3821.37622
3026.46606,2346.31689,3819.21729
3022.68384,2346.63159,3838.74414
3020.43628,2354.81104,3839.57446
3032.37671,2353.88306,3832.20923
3031.48486,2351.84888,3817.40234
3020.75439,2357.14429,3820.12256
3029.91528,2354.23364,3831.76782
3024.23071,2346.32178,3833.18799
3022.59546,2346.69727,3817.81372
3029.2124,2355.80908,3836.45142
3031.19604,2350.14355,3814.87646
3023.04785,2344.78638,3813.74194
3019.6853,2345.08154,3830.94897
3018.31128,2353.09399,3833.47192
3020.14136,2350.20459,3820.91162
3021.24268,2355.03516,3820.33276
3021.17944,2351.57178,3819.70532
3018.7063,2343.02905,3813.14355
3021.01318,2343.81567,3821.17456
3025.28174,2354.11646,3812.56323
3022.03003,2344.36523,3817.79639
3025.35815,2347.00073,3808.55811
3021.26392,2351.77856,3819.89648
3019.3291,2352.45142,3810.8689
3018.78491,2351.25391,3807.57593
3028.5564,2349.16772,3809.13892
3026.82642,2342.85205,3803.05469
3016.21387,2348.74976,3812.61377
3020.58667,2345.83984,3806.59839
3027.5647,2343.39111,3807.65771
3025.08325,2349.69702,3807.02954
3020.229,2351.84033,3804.07349
3017.76294,2339.92407,3811.66309
3025.17627,2346.17969,3807.24463
3021.53271,2346.54102,3811.71948
3015.74731,2345.18604,3808.5835
3024.28345,2345.10303,3798.65332
3017.1167,2342.40967,3800.02002
3023.47852,2350.02686,3817.09937
3026.43311,2348.01782,3798.82935
3026.61938,2341.30444,3802.13818
3019.85791,2341.26465,3812.34229
3021.90112,2340.55786,3808.40991
3027.52466,2347.62793,3804.1748
3024.17383,2348.31812,3808.0437
3018.07471,2343.2251,3804.17749
3024.07373,2346.05762,3804.19141
3028.28394,2345.47705,3798.97168
3021.62476,2343.16357,3806.85522
3018.03687,2337.62207,3797.78003
3027.91089,2345.77539,3787.26611
3027.49121,2349.57593,3801.91162
3018.52466,2341.72192,3798.677
3024.02832,2345.38623,3791.05225
3024.18335,2339.52319,3789.85425
3019.50928,2340.1311,3800.92017
3016.15454,2346.6394,3802.19312
3020.80347,2338.24487,3779.67188
3026.99951,2338.0105,3777.13501
3017.64478,2348.10156,3781.98755
3016.8877,2344.24292,3793.99756
3019.98169,2334.48828,3789.09985
3018.84009,2337.79712,3779.83276
3023.15796,2340.0874,3784.6853
3022.64502,2334.65234,3779.51392
3027.22559,2337.7373,3777.04492
3022.05103,2340.57861,3787.66626
3017.448,2344.68042,3790.97559
3023.54639,2332.72583,3776.41431
3030.43091,2336.03687,3774.97876
3019.71997,2345.10083,3772.27783
3028.51172,2333.0791,3767.98364
3024.04492,2339.67041,3771.46777
3023.44287,2340.86646,3771.41138
3025.95117,2332.88965,3771.29614
3029.17651,2337.52661,3776.56006
3022.24634,2344.93042,3773.52612
3024.04321,2336.11987,3784.02808
3018.8855,2332.59888,3772.06641
3030.0105,2340.40796,3761.45508
3029.44287,2345.37085,3781.08057
3019.68994,2335.22339,3774.37207
3026.11304,2331.13428,3768.4165
3024.45703,2342.81323,3765.27344
3025.51416,2345.03271,3764.14233
3023.26489,2340.82739,3769.47681
3029.95728,2340.34814,3761.92969
3027.42041,2338.89282,3767.25244
3027.07056,2341.83496,3777.99658
3025.98706,2340.5752,3769.52539
3025.80298,2339.68408,3758.96655
3030.15112,2336.52002,3774.27954
3028.49487,2334.54736,3758.19629
3030.24512,2330.62378,3769.27173
3031.1416,2337.2002,3761.44507
3029.72681,2332.79224,3775.80249
3037.98364,2339.1853,3757.49463
3037.89917,2333.44751,3753.43115
3034.71606,2334.93604,3771.87891
3031.67554,2331.67847,3771.73169
3034.05664,2329.11206,3766.54907
3035.78857,2336.40601,3761.63477
3035.72998,2332.7771,3764.81299
3040.23291,2330.46558,3755.14209
3043.03564,2331.21802,3754.1958
3034.41797,2332.58081,3767.37671
3044.50244,2337.71558,3750.23242
3045.03247,2337.37817,3761.53003
3038.24243,2331.55029,3769.81616
3037.54321,2334.56836,3771.6792
3041.47534,2329.08716,3757.55103
3041.71167,2332.70752,3762.1853
3046.86084,2338.30591,3764.18994
3047.99561,2334.20508,3748.19971
3050.67017,2335.29541,3754.10229
3043.20874,2331.68726,3750.49829
3051.13452,2334.12451,3759.23437
3053.65942,2332.42041,3747.32764
3053.94336,2336.9292,3753.78247
3046.23218,2334.98242,3761.79468
3053.08667,2334.67236,3746.33862
3058.40186,2330.77734,3753.3855
3053.61377,2338.66064,3751.13574
3048.81274,2337.68286,3748.14331
3052.40869,2330.47217,3749.66992
3049.40503,2332.37305,3762.46582
3049.38037,2337.22583,3765.15063
3056.16309,2336.43042,3753.13379
3051.68213,2335.92529,3747.1438
3054.82495,2340.63501,3755.78345
3052.29028,2331.91016,3762.09277
3061.8457,2330.16406,3750.26367
3060.60059,2340.9458,3758.64697
3054.67212,2336.96045,3764.54517
3061.06738,2337.89966,3754.07666
3061.88501,2338.1936,3754.4126
3059.79712,2341.18384,3748.83057
3059.97119,2329.56519,3756.7373
3058.2146,2335.32642,3751.79102
3054.27905,2340.25171,3758.49731
3059.88354,2332.45239,3763.51001
3060.8418,2327.97046,3759.22949
3065.06934,2340.04468,3756.07617
3060.47974,2340.74072,3760.52979
3054.62402,2336.41895,3761.04858
3062.49902,2338.79346,3754.9519
3064.3877,2340.15503,3753.17139
3061.99365,2340.9314,3747.20532
3061.00024,2333.22095,3750.698
3063.95972,2337.06152,3754.89551
3056.14282,2340.04785,3757.34155
3062.16455,2334.85376,3757.7854
3060.36768,2330.69604,3744.35791
3057.93066,2338.96802,3753.04199
3062.80908,2336.41162,3758.66553
3057.19971,2327.34741,3750.3103
3059.01074,2328.2019,3752.71094
3056.59058,2331.68262,3756.14673
3060.80835,2335.17554,3759.9812
3061.05884,2330.03687,3743.91089
3061.86353,2331.72803,3747.89233
3056.59229,2331.3147,3761.99707
3064.03003,2338.41797,3748.99463
3062.63086,2335.11572,3747.65967
3054.86304,2333.50513,3754.5874
3062.77686,2331.13745,3745.69409
3064.57056,2334.84351,3739.80371
3064.42041,2339.53516,3756.7937
3055.01001,2329.06665,3747.91724
3064.10962,2336.03052,3754.32007
3061.29614,2334.46655,3738.71265
3055.9314,2339.89282,3744.7998
3057.92261,2334.17578,3740.64209
3059.27344,2330.65967,3740.07324
3056.77173,2333.14014,3742.30713
3060.80371,2336.73218,3757.6853
3060.37061,2332.70874,3739.50952
3061.62793,2334.62744,3746.5752
3054.06372,2330.43237,3759.51196
3052.53149,2333.58545,3760.01221
3056.16064,2331.47119,3748.41309
3060.302,2331.47681,3741.6377
3054.55298,2330.39746,3757.91602
3061.2356,2335.88843,3737.5127
3060.34937,2335.33691,3748.6123
3053.82397,2332.53931,3748.00635
3054.23975,2330.56616,3748.63037
3061.4729,2334.26099,3753.39404
3056.28638,2337.56519,3738.56152
3055.0896,2332.78906,3757.89819
3060.20068,2327.38745,3748.99341
3057.9314,2335.23584,3735.7915
3057.42041,2333.46826,3753.20801
3055.3042,2334.36792,3758.37402
3054.53076,2335.55688,3737.08618
3061.45776,2329.40967,3738.04077
3053.12524,2338.29272,3743.13232
3054.2417,2326.76929,3742.83203
3057.16138,2333.38647,3738.39697
3058.17407,2335.8457,3742.95166
3060.13306,2326.8186,3744.17456
3063.92749,2331.81494,3749.68604
3057.21777,2337.88403,3743.86523
3061.64111,2329.24438,3756.48169
3064.7981,2335.32275,3748.49951
3065.22095,2334.00806,3735.79199
3056.80542,2337.84058,3748.64941
3061.9917,2329.37183,3753.90625
3063.94849,2329.86353,3749.43872
3065.58057,2338.76685,3753.30981
3058.17603,2333.98901,3756.01147
3067.60303,2335.03906,3734.51855
3067.29297,2336.23706,3748.77417
3066.77856,2340.12451,3750.29956
3062.63696,2338.36816,3759.00708
3067.70361,2333.71729,3753.20752
3070.12964,2333.45996,3751.15601
3066.13745,2334.40283,3754.55981
3061.85278,2333.77759,3759.54883
3062.07129,2325.67383,3738.47876
3067.1521,2330.06348,3743.73657
3061.16382,2330.20996,3752.5769
3067.19922,2332.57104,3753.93701
3071.13135,2329.63403,3737.8728
3068.60376,2334.2146,3751.11377
3066.59326,2327.67358,3754.99414
3071.47681,2329.08984,3739.55176
3068.6189,2332.10132,3755.48413
3068.91968,2336.9541,3750.75977
3072.71387,2328.77734,3741.40405
3063.55298,2330.44751,3762.41772
3069.8457,2327.14966,3754.65454
3070.78516,2335.2832,3747.95996
3063.61841,2338.99707,3758.51538
3069.44946,2334.25684,3760.0896
3067.75317,2327.5498,3749.04468
3066.11108,2337.11084,3756.73022
3070.33398,2338.37915,3758.03394
3069.80542,2329.93652,3766.8042
3067.43262,2330.82056,3761.94556
3070.92285,2338.4353,3770.72363
3063.15112,2333.41431,3768.14673
3069.0354,2332.23047,3754.15161
3070.05322,2332.82837,3768.62256
3065.15576,2330.81445,3777.96216
3066.05078,2330.448,3779.13184
3065.16284,2328.37744,3760.66553
3063.20972,2333.24829,3780.61523
3070.70361,2333.43896,3786.72388
3065.42236,2327.84888,3781.46094
3065.16675,2332.33765,3772.15649
3070.33911,2332.75342,3780.64233
3070.93628,2328.36206,3781.92505
3073.04126,2330.44995,3773.0271
3064.12354,2336.24951,3780.51782
3066.74829,2331.41528,3782.3064
3066.23999,2330.13208,3771.56006
3063.86621,2335.15186,3783.48462
3065.21582,2329.44873,3781.6084
3067.89478,2332.54785,3780.12427
3066.32935,2329.70947,3776.53735
3066.09668,2337.17212,3782.89795
3068.96265,2329.08789,3784.854
3072.64648,2337.76685,3790.06323
3063.58032,2341.43848,3795.12378
3068.23511,2331.71094,3799.70996
3070.67944,2337.85181,3793.95264
