R1,R2,R3
3177.77661,2443.69019,4014.84985
3163.79077,2449.79883,4018.77832
3164.96265,2447.92603,4030.76929
3168.94971,2450.58374,4015.49121
3173.375,2454.58496,4013.88403
3164.10522,2443.2666,4022.5127
3163.77393,2453.75415,4031.38037
3177.73657,2446.11499,4028.87598
3173.58862,2446.03149,4016.65649
3168.88623,2447.66479,4016.25
3163.87305,2444.38525,4031.20337
3164.50732,2444.06104,4021.26978
3175.40845,2445.54272,4015.03613
3178.62891,2444.68311,4016.48071
3175.3894,2450.45605,4021.65527
3166.34888,2444.93848,4021.47925
3167.44531,2448.7085,4022.64233
3177.52246,2444.84521,4024.09839
3172.86011,2445.0354,4021.68604
3169.94043,2450.99683,4030.43799
3165.79419,2444.95239,4020.57959
3172.86914,2444.31812,4017.33374
3169.62061,2448.14014,4021.82861
3172.70996,2454.43872,4025.95581
3175.22144,2455.69971,4031.54395
3167.92773,2448.43457,4025.80835
3177.07617,2453.85254,4022.68237
3179.47217,2452.3584,4025.00073
3178.15186,2452.0769,4029.32275
3167.48291,2454.67017,4024.71411
3175.81934,2452.08398,4017.82935
3177.63037,2456.96045,4032.52148
3178.12427,2444.74097,4033.14917
3178.7627,2451.27856,4017.72559
3173.30396,2450.45581,4028.70728
3165.94922,2446.11255,4023.2771
3173.68091,2445.54907,4018.77368
3174.35352,2455.83984,4028.62109
3166.16895,2454.90967,4033.60742
3174.17725,2446.04468,4030.14771
3173.43506,2449.32324,4030.90405
3172.98853,2453.34692,4025.71753
3170.75684,2452.93652,4027.41064
3172.10327,2448.31519,4033.16357
3180.08789,2456.22217,4025.2312
3167.90063,2452.49438,4026.82397
3169.77515,2451.66284,4021.84888
3167.68726,2451.21729,4033.354
3166.3811,2456.51099,4027.35937
3170.54126,2453.43701,4027.16919
3179.30957,2453.55835,4035.76636
3168.29102,2445.58105,4034.22778
3173.29419,2451.43726,4024.60596
3175.71606,2450.32227,4024.67188
3179.42725,2452.43628,4028.38843
3179.63599,2447.47705,4020.15381
3181.32275,2450.67773,4025.65454
3177.21436,2457.31421,4036.71069
3180.05664,2449.12061,4020.7002
3179.50317,2449.49487,4022.35791
3179.05859,2452.38843,4021.01904
3179.7854,2447.84155,4028.4043
3171.98828,2454.87451,4024.24902
3171.9646,2451.09741,4021.31055
3172.1853,2456.63086,4028.93799
3176.95142,2457.10107,4021.44897
3169.44434,2446.7439,4036.49414
3169.57568,2456.87744,4025.41504
3176.98413,2452.75513,4031.79199
3174.63257,2448.07739,4032.51807
3172.83838,2446.9834,4036.13745
3169.22803,2446.9834,4021.19824
3180.80615,2458.94897,4036.93384
3182.22241,2453.49463,4029.34424
3176.40186,2449.00317,4038.38794
3169.65332,2448.58301,4035.32715
3182.28662,2456.40088,4021.49341
3182.48315,2457.6311,4022.62866
3179.66187,2454.79834,4029.14697
3174.85596,2454.08667,4031.27881
3177.02051,2447.83008,4029.19312
3171.03516,2457.19409,4031.20801
3174.95044,2451.25073,4036.54956
3181.51172,2448.72534,4038.43848
3182.06592,2457.84375,4036.28223
3176.66821,2451.20581,4022.82495
3183.68433,2459.46484,4037.65625
3179.198,2455.15186,4032.05884
3172.69312,2448.62915,4023.75342
3173.76416,2448.43604,4037.81128
3170.81152,2458.60938,4024.97729
3182.50342,2453.31006,4025.17871
3170.71021,2458.46143,4037.77197
3178.95508,2447.97388,4038.16382
3182.03467,2456.41748,4024.01416
3183.5874,2454.90942,4030.44092
3184.25684,2456.04395,4029.03418
3178.65674,2455.16479,4034.83374
3184.57617,2458.5896,4033.05786
3182.80029,2452.62085,4028.15332
3183.75244,2455.37183,4026.13745
3182.47485,2458.74561,4039.89722
3182.98926,2459.43628,4028.69263
3177.40771,2458.38135,4037.15039
3171.17969,2458.86646,4030.76318
3181.61401,2452.64233,4036.12329
3178.80469,2454.74902,4025.36279
3185.61206,2459.34351,4039.36206
3172.81274,2449.72998,4028.28955
3175.43164,2460.28638,4027.54004
